Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.75232686957537,25.477027445565678,1153.8912356907322,1577.6312133300535
20,0,0,0,173.47473739073206,25.495763274677927,1138.9579074269054,1471.2689254774602
30,0,0,0,170.90499526134752,25.51898520539978,1137.6595771588147,1364.8994629804392
40,0,0,0,161.99587166021644,24.333801910535364,1090.3636137851493,1250.4218078026856
50,0,0,0,159.49789136989247,23.85685913889451,1092.5349407881558,1033.5244753782576
60,0,0,0,162.16205508060816,23.70163490584701,1082.2814848350542,425.5195849795894
70,0,0,0,157.76577137536538,22.993571332605857,1070.0117087247822,230.35840920999786
80,0,0,0,156.84349815713378,22.69901695013328,1052.828136665846,-325.0406888654833
90,0,0,0,155.02332381128053,23.143531979206536,1059.803111043554,-463.9919217082141
100,0,0,0,154.6117326246263,25.252368338492953,1071.5190196288358,-397.1932383154718
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.52201433273854,25.487047841147298,1147.5137823210891,1577.5702024287632
20,0,0,0,170.81157508007942,25.516583056852184,1136.8616088001827,1471.1580792196592
30,0,0,0,171.57564964605248,25.510759745105982,1136.8373901196655,1364.935107599615
40,0,0,0,167.12622422771275,25.555992199736167,1113.0347301753202,1258.4884914208471
50,0,0,0,163.57567007116387,24.032187858672696,1091.1238825219814,796.4217512974749
60,0,0,0,161.76841464919602,24.845559274295642,1120.0342312590556,717.9164929187217
70,0,0,0,159.39373792388128,25.638738995364076,1107.0863387353243,545.6839697969339
80,0,0,0,159.8281730812429,25.6322763628269,1091.3473766632717,243.09213846880314
90,0,0,0,152.89525139716065,25.300588081302696,1092.2431857198649,-58.019509616915514
100,0,0,0,155.31897410165962,22.710252794270854,1067.0623548331391,-565.3141542844882
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.7844287432315,25.49968175649722,1138.5278379679103,1577.4939769648333
20,0,0,0,168.36464032125437,25.359392500080162,1129.2053035268002,1471.0610357200267
30,0,0,0,168.78658311638418,24.933788878413655,1122.903069766859,1364.8021988328044
40,0,0,0,165.99224627665956,25.560582949758185,1112.295179365716,1258.4541776226613
50,0,0,0,161.22032239896149,24.378844455168018,1105.0748847970392,914.9088263127065
60,0,0,0,162.66500489701107,23.860894701476887,1093.1764176593847,727.2986178642698
70,0,0,0,162.65316886934562,25.597945242753973,1107.8890006273105,882.1907876531061
80,0,0,0,154.6870740203432,23.184405331909296,1073.9166654391413,-301.4106854924648
90,0,0,0,153.56414644485096,23.199737573975007,1070.5346850691924,-465.4517937013251
100,0,0,0,153.68201166283572,22.96103923337748,1063.2026361925368,-816.9807258583836
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.85826723596782,25.492898656674065,1142.9098155175118,1577.536273236637
