Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.76212584674957,25.469601880249645,1145.164528125346,1641.4296835461512
20,0,0,0,176.50874676795235,25.471817147451723,1140.0012025246622,1620.1661891691667
30,0,0,0,173.71146906434754,23.812954365035683,1107.9138492304214,989.5507441405583
40,0,0,0,174.31230980472674,22.991097068336757,1093.9474666253545,380.1239542261561
50,0,0,0,175.09768516042814,23.261067993257047,1106.5188728642636,105.74940035831868
60,0,0,0,171.34303587135975,25.51433542340935,1094.455939959212,419.3638224110362
70,0,0,0,170.73374889114154,22.57077060842419,1077.2792755390813,-1311.3317741509593
80,0,0,0,171.1575373750497,25.51746805728915,1089.9153491750578,-1076.1437612374039
90,0,0,0,171.88374952974843,23.096637286668948,1084.0239464658073,-2097.184050490513
100,0,0,0,170.1611051445995,25.521902535217265,1083.3510574700886,-1210.231217950411
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.69416037708976,25.47731589100158,1141.8967421259845,1641.3788088285446
20,0,0,0,175.80340380176239,24.52903555709061,1127.3485549043426,1551.5982383480102
30,0,0,0,174.21928820037903,25.48932093103112,1139.129250629462,1530.3618097528613
40,0,0,0,176.0771032198575,24.340260021194727,1123.7996970764366,538.8707824006248
50,0,0,0,173.06950420546852,22.513315651125712,1089.4035535966989,-125.13262752587916
60,0,0,0,172.7026674222736,25.501655048244032,1100.2161828832411,-147.8526042846259
70,0,0,0,169.91210587556446,25.524561338610106,1091.4166960274517,-57.71618559355406
80,0,0,0,172.55835709252588,22.058232849724256,1089.6483255814085,-1424.1826076813472
90,0,0,0,170.85791346693318,22.013414272159444,1083.2149397635105,-1757.1380407220147
100,0,0,0,169.92005051204862,22.012859833255426,1079.5481533481916,-2260.18772293363
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.74843627737985,25.477046237517133,1143.2113831198772,1641.3811801197749
20,0,0,0,174.70491003332643,25.4847364220751,1132.750110578718,1620.082013276871
30,0,0,0,174.29538414744204,25.488994802784156,1118.5175301170548,1458.0987190915487
40,0,0,0,176.76251221106656,25.469602296458238,1120.8128606806777,794.4940662588855
50,0,0,0,171.2758452793106,22.89159751714591,1088.5841493400198,189.7583666598088
60,0,0,0,170.78436159958306,23.291114107261762,1089.0975609728723,-523.1577992082412
70,0,0,0,169.3351225629026,21.94145775078406,1074.7834120286534,-922.9698525214062
80,0,0,0,168.92335949008427,22.334972528019136,1076.490694278777,-1279.860532252481
90,0,0,0,169.66465340426555,21.954069490213996,1082.2894764392345,-2418.6566499615606
100,0,0,0,167.96978839604142,22.401432092714263,1100.4757137409779,-2980.9445923734643
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.7206401275336,25.210490125547334,1137.1315307564837,1641.379596881779
20,0,0,0,176.33794026612898,25.47330629522224,1136.0194104539153,1620.1569601385438
30,0,0,0,174.35137229149382,24.186019523577208,1116.299773353464,1170.3110609813125
40,0,0,0,173.57587060894448,25.493637672388356,1123.8246682218266,1057.8370186654856
50,0,0,0,172.68121266674504,25.50186076043839,1113.868342836617,674.8110885044995
60,0,0,0,171.62902449317463,25.51132610136716,1102.4008513616186,420.8342836383354
70,0,0,0,170.46929638109225,22.192912442295093,1076.5071175184169,-1228.4969024265995
80,0,0,0,168.72316077635264,25.53420180025146,1085.6663694917445,-318.89837045000877
90,0,0,0,172.11229047458187,25.43653317797396,1091.828198786365,-1408.0844904468138
100,0,0,0,167.47928720018805,25.54441460412892,1074.588582197506,-1859.6298959910027
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.6806311864477,25.37428536527166,1140.5184503440107,1641.3783925603032
20,0,0,0,174.8708398161232,24.611356102889516,1123.086716015243,1580.0130172155284
30,0,0,0,174.14291883455095,24.24313360246308,1116.1509515953567,1061.6687730440412
40,0,0,0,175.69970089369377,23.416198953761256,1103.713731497072,382.5586420558576
50,0,0,0,171.76460323672765,25.50930679987663,1103.936543159164,327.5710754458384
60,0,0,0,171.2369445329458,25.51256726762877,1091.2504488744546,326.3478834438329
70,0,0,0,173.60273564814997,22.36723646238038,1092.0181615710387,-773.72878936554
80,0,0,0,170.41815700055807,22.273589228286205,1085.996078262049,-1851.822965453141
90,0,0,0,168.26888954003883,21.883180852430545,1069.8264848923639,-2303.8480776107926
100,0,0,0,168.6021309083338,25.21067891950811,1078.9493056797335,-1871.6600583791724
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.2896839250645,25.473771030253417,1152.114050763634,1641.4041982629074
20,0,0,0,175.68076795232108,24.76009627551604,1127.7379878981064,1572.6995992474094
30,0,0,0,175.1690623692589,23.508223997909305,1107.185985290909,989.7231856135372
40,0,0,0,175.19600138839664,23.254994047936634,1101.7218125761813,518.5211505746453
