Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,96.78109298463917,74.25995522186913,770.3278764630084,3981.1120166639193,9.206560072226665
20,0,0,0,101.6570524222966,77.16009444615594,764.8157684498638,3244.6804386516765,9.645738880107496
30,0,0,0,88.21886967076726,67.16173902455759,694.7472204705842,1337.1510881544343,8.174015323385202
40,0,0,0,115.89495839257431,67.76809119214415,825.2435928936998,264.89892122710404,8.052945597429787
50,0,0,0,119.15369826702381,74.14446088785539,853.1830986814352,-50.12701274337515,9.64574356817923
60,0,0,0,130.97487305207767,77.45574290863946,908.2869887873698,-972.1147358349128,9.645743568411909
70,0,0,0,280.1048580232735,77.74358045529398,1588.541850578624,-3035.722105212651,12.224108315465724
80,0,0,0,195.70331830260878,77.95073456232139,1191.6221042172238,-3180.122735160514,12.31566497435996
90,0,0,0,115.84910166315753,68.267627452469,813.6572509227453,-2578.492273347164,11.27062701660151
100,0,0,0,392.7863798167796,88.23145470523862,2126.4539693738916,-7433.252372947632,19.73498549024258
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703177814368,77.95073456232139,798.3540323558209,4257.720541687875,9.645737882462178
20,0,0,0,101.6570347084028,77.95073456232139,805.0718658830971,3220.123321803484,9.645737921922528
30,0,0,0,92.76261583720665,68.42713431033667,729.4525903472942,1343.4153518107312,8.178335913210304
40,0,0,0,101.65708157182277,70.46157336578109,723.5063175399843,1072.75245669711,9.645740409779332
50,0,0,0,117.46069506847448,66.17077723550797,838.5737715146756,-753.0885786161504,9.645743108949786
60,0,0,0,135.55079399216243,77.9480557479379,922.4468608578403,226.23689743739465,9.645741758559828
70,0,0,0,130.52643806749091,74.65368965486006,895.7678021905067,-2231.956753361739,10.831204301677438
80,0,0,0,203.00128248759276,70.32382322778996,1211.2816836256482,-4938.489733222336,15.079940774609154
90,0,0,0,238.42375367493602,70.2099773522977,1358.7919803051075,-6054.390539066224,17.03490623746974
100,0,0,0,236.54396705164567,77.95073456232139,1340.0057437867542,-5271.292446344857,15.744509420316795
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65702422379873,75.86889710646228,814.2174590106929,3989.2853293165444,9.645737421909782
20,0,0,0,101.65704785385421,77.95073456232139,779.3700549560627,3502.1368853585673,9.64573863230828
30,0,0,0,91.84577380823168,68.88404507018058,728.8558567150423,1341.816689896264,8.178840725277126
40,0,0,0,101.65711278323911,71.87033904086665,758.7141721858044,1194.5699194967058,9.645741569735394
50,0,0,0,192.00119052930188,73.33076047094961,1183.7588598555358,-720.0880066108348,9.045860718378245
60,0,0,0,101.65712033525419,71.08339737953662,769.4460522291106,192.90026367407992,9.645742192042224
70,0,0,0,158.4639975639587,77.95073456232139,1022.1504404782793,-2266.8713231748425,10.953388613186917
80,0,0,0,221.84574331152854,78.95799689417828,1329.1387914136706,-4117.146861798722,13.847848728006493
90,0,0,0,166.41825322911743,77.95073456232139,1042.0102359937682,-4081.904399712474,13.640648363483521
100,0,0,0,280.50422125459414,80.02278966124268,1566.5851799568245,-6099.612641542202,17.25328166789889
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703024460879,74.43823263322054,789.4790852734028,4048.7427107423273,9.645737775074762
20,0,0,0,101.65705529845809,76.53655697326084,757.8041123921607,3243.577651125219,9.645739044040623
30,0,0,0,101.65706648701656,74.07948877339115,743.3571627618494,2069.283110268808,9.645739437767183
40,0,0,0,89.57574373118094,68.83463111492627,710.9402641408818,552.4765536864144,8.028228019256089
50,0,0,0,101.65711314541628,68.12675719034904,739.4147063131683,-72.57287831868884,9.64574189410385
60,0,0,0,136.71816159411975,64.92526900397667,894.8322722284445,-2328.354495605769,10.980465548355655
70,0,0,0,139.10602375636233,75.11781783242861,930.0057522874906,-1096.0374278091833,9.645744351915875
80,0,0,0,165.48946395394967,68.81717888680161,1048.1540185010022,-4174.242917673501,13.797072979298722
90,0,0,0,190.74660283060425,70.03847310332408,1151.5665736114504,-4827.037473479067,14.89112668150765
100,0,0,0,238.94903730246838,77.95073456232139,1339.2108490641037,-3051.3710031658966,12.140631768236997
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,97.81720502623307,74.74543056532754,785.801705290765,3911.7048449470394,9.152143675607258
20,0,0,0,93.85242158769785,70.81934036373542,736.1360958682558,2945.2261963933215,8.783814336403236
30,0,0,0,91.56939418334686,68.06078989702529,726.360687951572,1574.3956357392108,8.298127278444104
40,0,0,0,101.70565502229817,73.34659446176697,787.4088097446509,1199.7463929978744,9.645741920404118
50,0,0,0,107.79032322836713,70.94165131421548,799.7102383568503,-60.43675505559507,9.64574299399107
60,0,0,0,125.99801086380508,74.5750463768257,874.9488998661101,-1030.1180121013074,9.64574260065746
70,0,0,0,139.65131642903566,64.65208423605208,905.7538224381901,-3854.537479076816,13.202465071499924
80,0,0,0,295.35452351875057,77.95073456232139,1648.4953022294146,-3083.3471626498554,12.41502450113543
90,0,0,0,250.44901495438688,77.54840047910137,1457.5237547188192,-6038.921982584726,16.922220078595444
100,0,0,0,339.400871410579,90.257363968685,1905.896579777148,-6606.922495864063,18.187779131988535
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,96.57214615058021,73.82849183919397,774.2156407626969,3909.861864303292,9.147056950921895
20,0,0,0,101.65703526160993,77.85974780427169,767.0214563028967,3560.3083655262812,9.645738114308784
30,0,0,0,92.13457793605285,67.96028150855197,714.003650447742,1413.2529890048618,8.385497693687924
40,0,0,0,101.65707641273134,74.59512472522957,745.903339660254,1869.0425657028477,9.645740073917079
50,0,0,0,101.6570873513481,70.15285467315827,728.2811568504484,735.79378734596,9.64574068399481
60,0,0,0,121.09973945527672,74.67488921176144,859.115609887307,213.5137701099366,9.645742750432817
70,0,0,0,157.4478023880728,68.55712063438787,1009.2847370696894,-2817.9349233085754,11.716543544057444
80,0,0,0,162.51398020251045,77.95073456232139,1019.1693417066504,-1743.9602930393949,10.285591787743455
90,0,0,0,195.70350898762032,69.83079569080594,1169.9049956491049,-4820.030104536152,14.87930070932571
100,0,0,0,263.9682936605906,68.37601532458672,1456.7732510336004,-6497.761999954153,17.83628858889655
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,102.24902096428158,76.7739067166333,819.3868980965881,3988.0739534544973,9.216887866640985
20,0,0,0,101.65704892934214,77.77167893660715,766.0097116393032,3469.383387182908,9.64573869186856
30,0,0,0,94.14328408214374,67.66878952413539,735.1599771386727,1576.2277641795683,8.294903149717005
40,0,0,0,108.05618980554887,69.59046091472601,815.123932720928,607.4276494316713,9.645740713935833
50,0,0,0,101.75200936220072,75.49505278459564,808.9388758668161,-800.1297720918083,8.911069579200895
60,0,0,0,114.11729203403634,72.1217615615979,828.8540293374581,-842.3940869459396,9.645743486499658
70,0,0,0,226.30670242689067,71.44637975818965,1318.2765082667893,-3084.8741252123323,12.224564569011882
80,0,0,0,171.19968012041502,77.95073456232139,1056.1446281873862,-1426.3744502791214,9.764594981629141
90,0,0,0,209.65255224299648,77.95073456232139,1236.95036212634,-4119.755579466298,13.841378864809103
100,0,0,0,198.95403173369291,77.95073456232139,1190.6016252225934,-5304.994621972893,15.627896717328287
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,96.91219627514388,73.63634532228286,775.8110606641959,3980.092060996973,9.195670606731067
