Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,95.59797994173219,72.17919528430978,744.648986129903,3990.170656481099,8.933750535782496
20,0,0,0,101.65700736939131,74.11827984720638,723.3946880319097,3515.146021671927,9.645736243697817
30,0,0,0,101.65699469192256,60.98835661969585,630.486292075643,2099.8809472983726,9.64573517203359
40,0,0,0,101.65699243559555,58.90910713133877,654.6341165718115,920.559357627911,9.645734684278114
50,0,0,0,74.87950359721717,54.97524381947716,576.0118954423386,-732.7390863605864,5.738340893147915
60,0,139,139,172.4334009146441,77.95073456232139,1071.6890841822637,-808.931725680318,9.645733349762851
70,0,0,0,101.65698508362433,49.59021368974095,568.9664785934574,-2777.088984450295,9.645733947243711
80,0,0,0,101.65698024455347,54.68447264113786,621.3380185151807,-1719.2757534143623,9.645733766217921
90,0,0,0,101.6569808445613,50.846629121302826,567.023736337504,-2602.7991105927003,9.645733792711265
100,0,0,0,101.65697850532776,51.66794347607955,700.0036748866908,-3035.83941927124,9.64573288829231
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,104.1929616749971,77.95073456232139,833.1943907059912,4250.070008940839,9.645737014036797
20,0,0,0,101.65700006735469,68.41281800399132,684.4215926454968,3211.4113179730366,9.645735883595247
30,0,0,0,84.14334668365913,61.755174231915724,661.5078124610097,1631.0721057947553,7.282544268734076
40,0,0,0,101.65699484121008,56.0005178955849,597.9831753308174,1222.723144953189,9.645734989004469
50,0,0,0,101.65698752288982,57.48936088358742,611.2088442760671,79.67371979997499,9.64573417619471
60,0,0,0,101.65699001379416,54.548271123843385,588.019979800863,18.856248078831413,9.645734882785405
70,0,135,135,120.25586429683499,64.12579539348164,822.0680370899576,-2166.6859355072447,9.645733223265212
80,0,138,138,148.24429369534514,65.42425479241811,931.0812123967454,-2997.697198751009,9.645732749673554
90,0,0,0,101.6569758006355,54.33830807596848,705.528607325732,-2453.5422985396553,9.645733100667577
100,0,0,0,113.39628357840012,54.79663486348845,761.8668125330337,-5309.619060092332,9.892513038013098
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700689277054,75.96868215417842,754.3786150776771,4113.192113318619,9.645736507813286
20,0,0,0,101.65700586793558,70.0187853834839,697.4909006735697,3211.563325427834,9.645736006900979
30,0,0,0,101.6569961517041,61.24589977724649,629.5012961874658,2049.6391898003976,9.645735080844164
40,0,0,0,101.65699377114912,63.068810647488505,643.7311455636927,1905.1578994397173,9.645735251231118
50,0,0,0,101.65699226155625,58.010924023794324,606.9620275498164,782.1840683606628,9.64573487481812
60,0,0,0,88.33378432210017,49.951452871782955,612.3593067675286,-1737.653435204581,4.9357045038106815
70,0,0,0,101.65697487862192,54.914332870552954,637.0347692925038,-1042.3303780291628,9.645733399920433
80,0,0,0,83.7645153091663,51.61696630665276,587.5027528716753,-4116.525846403441,7.738850222066025
90,0,0,0,101.65698096396686,50.48312082366842,600.0144369010792,-2489.461766401495,9.645733609764514
100,0,3,3,118.05971467623137,54.1818287436455,777.7555797575205,-3526.460606491352,9.645732857540903
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701288833309,77.95073456232139,781.9925005240557,4250.792371771365,9.645736673692014
20,0,0,0,101.65700464131314,73.01831569319106,712.9714443317627,3262.342214043974,9.645736001798754
30,0,0,0,101.65699403160974,64.72639249154243,656.9291515347102,2471.644875724833,9.645735362823245
40,0,0,0,76.47525112071445,54.13435276400216,539.4091895504042,601.6816670916496,6.650116108357371
50,0,0,0,101.65698533467949,51.20801281339893,562.3982140748212,-704.5671102092314,9.64573412640865
60,0,0,0,100.56908787890255,54.76334058566459,686.5909805881645,-2235.949376882091,4.411289827842051
70,0,14,14,107.17094621858006,54.560048271652946,717.4851174298993,-3675.3570628920206,6.914987277291538
80,0,66,66,134.00356835025963,53.7827543988613,857.8849741232884,-4033.406825980588,9.645732981197202
90,0,350,350,230.7852668032484,60.46798845529648,1279.967545568159,-4960.268037684671,9.199875491891797
100,0,320,320,150.49892475497782,64.81034572287906,931.1140295070005,-5258.58178072221,9.771630730385642
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,94.73656059790783,72.31777117669283,739.1049331115572,3921.2336365226734,8.85353560722231
20,0,0,0,86.53156516092267,65.3771412105034,636.5828800658682,2830.7348924143844,8.062098398819357
30,0,0,0,101.65700699372498,65.1411454469462,670.0012900412061,1643.3406851702225,9.645736085873722
40,0,0,0,101.65699399481062,58.51579759473731,614.3478994201441,1710.28596298901,9.645735055576386
50,0,0,0,115.95522816458221,69.09969834543354,825.1785346902526,-14.495414971883758,9.645734042668952
60,0,0,0,101.6569872628895,58.15464021261597,623.0551262942895,-796.1009613726693,9.64573429610114
70,0,0,0,101.6569783525169,50.0222480144376,566.7424342562244,-939.2306318754324,9.64573370049891
80,0,0,0,101.65696730916478,45.29184038358444,631.4509489925929,-3063.7574352315482,9.645732454613256
90,0,518,518,293.5458611174448,71.62136216614182,1614.5976316299784,-5685.18375279709,10.485381210588733
100,0,585,585,409.833203234417,80.19277149587937,2199.6650459369916,-7068.066510337616,13.017937508421918
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701311238305,77.95073456232139,775.2255059889372,4296.017404010889,9.645736607381556
20,0,0,0,101.65700639905326,71.62980583949997,717.6128079005239,3214.481210798554,9.645736059171725
