B VminVmax,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,2.083333333,0,0,0,0,0,0,0,0,0,0
4,0,0,0,2.083333333,6.25,2.083333333,4.166666667,6.25,2.083333333,4.166666667,6.25,20.83333333,12.5,14.58333333,20.83333333,22.91666667,25,14.58333333,10.41666667,16.66666667,16.66666667,16.66666667,22.91666667,10.41666667,4.166666667,2.083333333,4.166666667,2.083333333,4.166666667,4.166666667,0
5,0,0,0,4.166666667,8.333333333,8.333333333,8.333333333,10.41666667,12.5,10.41666667,14.58333333,22.91666667,22.91666667,16.66666667,22.91666667,16.66666667,16.66666667,27.08333333,12.5,16.66666667,8.333333333,4.166666667,8.333333333,12.5,10.41666667,0,0,2.083333333,0,2.083333333,0
6,0,2.083333333,18.75,31.25,56.25,56.25,68.75,77.08333333,64.58333333,54.16666667,68.75,45.83333333,50,43.75,27.08333333,22.91666667,12.5,8.333333333,12.5,4.166666667,4.166666667,2.083333333,4.166666667,2.083333333,0,0,0,0,0,0,0
7,0,20.83333333,22.91666667,20.83333333,16.66666667,14.58333333,2.083333333,2.083333333,6.25,4.166666667,0,2.083333333,0,2.083333333,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,29.16666667,31.25,22.91666667,6.25,10.41666667,8.333333333,2.083333333,8.333333333,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,20.83333333,18.75,14.58333333,6.25,2.083333333,4.166666667,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,4.166666667,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,20.83333333,8.333333333,2.083333333,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,200,2.083333333,0,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,0,2.083333333,0,0
15,0,0,0,2.083333333,0,0,4.166666667,0,6.25,20.83333333,8.333333333,8.333333333,14.58333333,22.91666667,25,37.5,45.83333333,50,64.58333333,60.41666667,68.75,77.08333333,64.58333333,75,83.33333333,97.91666667,95.83333333,95.83333333,93.75,93.75,100
